Link,Location,Title,Date,Time,Description,Price,Location
http://generalassemb.ly/education/digital-marketing-bootcamp--2/new-york-city/38494,New York City,Digital Marketing Bootcamp,"Saturday, 16 September",10,"The digital landscape is moving at lightning speed. Every industry has been affected by the advances in digital—from retail to brands and agencies. Has your manager recently assigned a digital marketing role to you? Are you a project or account manager at a creative agency? Do you work for a small company or a start-up, and handle all things digital on your own? Then this bootcamp may be just what you need! Specifically created for students and professionals interested in gaining a deeper understanding of everything digital marketing can encompass.",299,Atlanta
http://generalassemb.ly/education/social-media-advertising/london/39311,London,Social Media Advertising,"Tuesday, 15 August",6:15,"As social media evolves, many of the platforms now offer interesting and effective ways to get in front of your exact target audience. In this workshop, we'll be taking a look at how Facebook, Instagram and Twitter Advertising allow you to purchase adverts that sit within the newsfeeds of audiences that you select. We'll be covering how you go about setting up adverts, what they look like, and looking at some great (and not so great) examples of how UK brands are using the platforms.",55,Atlanta
http://generalassemb.ly/education/python-programming-101/chicago/39195,Chicago,Python Programming 101,"Thursday, 7 September",6,Unlock data-driven insights with code.,60,Atlanta
http://generalassemb.ly/education/financial-modelling-for-your-business/sydney/37905,Sydney,Financial Modelling for Your Business,"Thursday, 6 July",6,"This class is designed for business leaders who want to learn about financial modelling. No accounting background is necessary, but a basic working knowledge of Excel is required. We'll start by discussing the purpose of a financial model. How to architect and build an effective model that tells the “story” of a business and how to identify its key drivers.",50,Atlanta
http://generalassemb.ly/education/google-analytics-for-beginners-key-concepts-and-quick-wins/los-angeles/39373,Los Angeles,Google Analytics for Beginners: Key Concepts and Quick Wins,"Saturday, 22 July",12,Everyone wants to grow their business and make their websites successful. But how do you know if you are making progress to your goals? And how do you know what marketing activities are the most efficient and cost effective to pursue?,45,Atlanta
http://generalassemb.ly/education/user-experience-research-design-working-together-in-business/melbourne/39335,Melbourne,User Experience Research & Design Working Together in Business,"Tuesday, 8 August",6:30,"User Experience Design as a process can take shape in various forms, from the ideal state to the constrained, particularly when real world considerations of time, resources and end goals are factored in.",35,Atlanta
http://generalassemb.ly/education/intro-to-sketch-app/washington-dc/39173,"Washington, D.C.",Intro to Sketch App,"Tuesday, 29 August",6:30,"Have an idea for an app or website, but have been frustrated trying to communicate it to others? Enter Sketch.",65,Atlanta
http://generalassemb.ly/education/agile-project-management-bootcamp/sydney/39569,Sydney,Agile Project Management Bootcamp,"Saturday, 12 August",9:30,Agile is a style of project management that has gained popularity in recent years due to its ability to uncover and remedy client expectations early as and deal with an evolving scope of work.,250,Atlanta
http://generalassemb.ly/education/sql-bootcamp-learning-the-language/san-francisco/37834,San Francisco,SQL Bootcamp: Learning the Language,"Saturday, 8 July",10,"SQL is a powerful language, and tool, for data analysis and data handling. In this bootcamp, you’ll dive deep into SQL syntax and database structures, while applying your new SQL skills to address business problems. This bootcamp will take absolute beginners through the basics of SQL to an ability to write queries with confidence.",299,Atlanta
http://generalassemb.ly/education/python-programming-101/new-york-city/38443,New York City,Python Programming 101,"Wednesday, 12 July",6:30,Unlock data-driven insights with code.,90,Atlanta
http://generalassemb.ly/education/intro-to-data-science-with-python-beginners-bootcamp/sydney/39308,Sydney,Intro to Data Science with Python: Beginner's Bootcamp,"Saturday, 29 July",9:30,"Whether you have experience in programming or are looking to get started for the first time, this bootcamp will put you on the fast track to honing your python and data analysis skills.",250,Atlanta
http://generalassemb.ly/education/adobe-indesign-bootcamp/new-york-city/38505,New York City,Adobe InDesign Bootcamp,"Saturday, 26 August",10,"Bring your creative ideas to life with Adobe InDesign, the professional page layout standard, used by designers and production professionals to design, preflight, and publish a broad range of documents such as brochures, catalogs, magazines and books. InDesign allows you to lay out and design multiple page documents. This workshop is designed to get you up and running with Adobe InDesign in one day. The focus will be on step-by-step instruction leading students through the most important tools and concepts in InDesign.",299,Atlanta
http://generalassemb.ly/education/intro-to-coding-html-css/seattle/39375,Seattle,Intro to Coding: HTML & CSS,"Tuesday, 11 July",6,"Meet the programming languages that power the web, and write your first line of code.",0,Atlanta
http://generalassemb.ly/education/two-day-user-experience-design-bootcamp/london/38173,London,Two-day User Experience Design Bootcamp,null,null,"As technology changes and more media outlets compete for customers’ time, providing an enjoyable experience is critical to both attracting and keeping users.  This two-day bootcamp aims to demystify UX by giving a practical and simple introduction to what UX is while also explaining some of its core concepts of usability.  This is a field that affects all areas of business — prepare to dip your toes into an ocean of new concepts and ideas that will enlighten your perspective on the  human-computer interaction experience.",350,Atlanta
http://generalassemb.ly/education/introduction-to-data-science-80ad72a7-92a5-48a1-940c-006d43bd4dcf/los-angeles/38931,Los Angeles,Introduction to Data Science,"Thursday, 6 July",6:30,See how the predictive power of data drives modern business.,0,Atlanta
http://generalassemb.ly/education/intro-to-coding-a-free-class-2eb784e7-28ff-4d41-b60d-a800e0203dd0/boston/38888,Boston,Intro to Coding: A Free Class,"Wednesday, 19 July",6:30,"Meet the programming languages that power the web, and write your first line of code.",0,Atlanta
http://generalassemb.ly/education/financial-modelling-within-business/london/38659,London,Financial Modelling within Business,"Thursday, 28 September",6:15,"Having a strong business and financial sense is critical to the success of any company. One way to develop this skill is to understand big picture principles and how to read, build and perform scenario analysis on financial statements.",55,Atlanta
http://generalassemb.ly/education/stand-and-deliver-projecting-confidence-in-presentations/los-angeles/39453,Los Angeles,Stand and Deliver: Projecting Confidence in Presentations,"Tuesday, 26 September",7,"Whether your current job requires you to pitch in front of clients, co-workers, venture capitalists, interviewers, or cameras, this workshop will help you improve your performance by teaching you how to use your body to deliver your presentation in a natural and convincing way. You’ll receive one-on-one movement coaching from professionals and learn how to exploit the potential of your natural movements to demonstrate confidence and improve your posture and gaze. You’ll also learn techniques for relaxation and focus before delivering your presentation.",65,Atlanta
http://generalassemb.ly/education/ux-design-101/new-york-city/38502,New York City,UX Design 101,"Wednesday, 23 August",6:30,Discover how design shapes our online experiences.,60,Atlanta
http://generalassemb.ly/education/storytelling-skills-for-success-pitch-present-persuade/melbourne/39477,Melbourne,"Storytelling Skills for Success: Pitch, Present & Persuade","Thursday, 10 August",6,"Whether you're interviewing for a job, giving a presentation at work, pitching investors, or simply leading a meeting, the way you tell your story matters. Constructing a good outline and polishing your presentation - from story cadence to body language - makes a difference and lead to positive outcomes.",70,Atlanta
http://generalassemb.ly/education/introduction-to-google-analytics/boston/38980,Boston,Introduction to Google Analytics,"Monday, 7 August",6:30,"Google Analytics is an incredibly robust, free tool for measuring web traffic data. In this class, you’ll get to know the basics of using Google Analytics to track and evaluate performance and draw insights to improve your business. Starting with basic terminology and key metrics, you’ll build a foundation of knowledge before diving deeper into more complex analytics techniques, including advertising tracking and custom segments. You’ll walk away with a fundamental understanding of Google Analytics’ role in running and operating your business.",75,Atlanta
http://generalassemb.ly/education/introduction-to-data-analytics-587430d8-ae16-4b39-8622-5e13c878b0f9/los-angeles/39231,Los Angeles,Introduction to Data Analytics,"Wednesday, 12 July",7,Data drives decisions; are you part of the conversation around data?,0,Atlanta
http://generalassemb.ly/education/product-management-bootcamp/new-york-city/38348,New York City,Product Management Bootcamp,"Friday, 7 July",11,"You’re full of ideas, but how do you know which are worth working on?  In the first half of the workshop, you’ll learn how to use the MVP (Minimum Viable Product) philosophy to test and validate your ideas with the least amount of work required.  The ultimate goal is to get to product/market fit.  Take your idea and get moving in the right direction quickly and efficiently.",299,Atlanta
http://generalassemb.ly/education/two-day-agile-and-scrum-bootcamp/london/37803,London,Two-day Agile and Scrum Bootcamp,null,null,"Scrum is used extensively, but not exclusively, in web and software development. Everyone from developers to business execs are now expected to know how to work using Scrum, but few are taught it and many struggle along with misinformed ideas. This bootcamp will cover the main principles and ideas underpinning agile and why using Scrum is the best way to run certain projects. Through games, hands-on practice and project simulations, you’ll be armed with the knowledge of how to use Scrum on a day-to-day basis. The bootcamp will also give you knowledge that you can put towards obtaining scrum certifications, such as the PSM I offered by Scrum.org.",350,Atlanta
http://generalassemb.ly/education/information-architecture-the-art-science-of-transforming-ideas-into-reality/seattle/38384,Seattle,Information Architecture: The Art & Science of Transforming Ideas Into Reality,"Wednesday, 26 July",6,"Most things around us came from an idea, but ideas are abstract - intangible thoughts, that need to be broken down through several layers of abstraction before they become a tangible reality.",40,Atlanta
http://generalassemb.ly/education/presentation-skills-and-public-speaking/london/37914,London,Presentation Skills and Public Speaking,"Wednesday, 20 September",6:15,"Whether you are speaking to an entire company or a few clients, your presentation skills establish your credibility and impact. This hands-on workshop focuses on how to engage your audience and deliver your message with confidence, conviction, and clarity. Through a series of exercises using drama techniques, participants will learn about how to use their voice and body more effectively in front of an audience. There will be a series of group, pair and individual exercises.  Upon completion of this workshop, participants will have actionable strategies for leveraging strengths and addressing challenge areas when delivering presentations, as well as exercises to help tackle nerves.",55,Atlanta
http://generalassemb.ly/education/javascript-101/chicago/39194,Chicago,Javascript 101,"Tuesday, 5 September",6,Expand your coding toolkit with the No. 1 language in tech.,60,Atlanta
http://generalassemb.ly/education/sql-bootcamp/boston/36415,Boston,SQL Bootcamp,"Saturday, 30 September",10,SQL provides powerful but reasonably simple tools for data analysis and handling.  This bootcamp will take absolute beginners through the basics of SQL to an ability to write queries with confidence.  We will use a combination of lecture and in-class exercises to ensure that students leave with a working grasp of SQL fundamentals.,250,Atlanta
http://generalassemb.ly/education/introduction-to-data-science-and-machine-learning-workshop/austin/39049,Austin,Introduction to Data Science  and Machine Learning Workshop,"Saturday, 15 July",10,"This workshop will introduce students to data exploration and machine learning techniques.
Students will learn about the data science workflow and will practice exploring and visualizing
data using Python and built in libraries. Students will also explore the differences between
supervised and unsupervised learning techniques and practice creating predictive regression
models.",175,Atlanta
http://generalassemb.ly/education/user-experience-design-bootcamp/boston/36408,Boston,User Experience Design Bootcamp,"Saturday, 12 August",10,"The User Experience Designer (UXD) plays a critical role in today’s Experience Economy. With digital, human-centered products and services at the forefront of this economy, this workshop aims at understanding humans on a fundamental level as it applies to design, how to perform user research and testing as part of an iterative design cycle along with various design processes and who is involved. Additionally, students will learn core UX concepts and terminology, practice research, sketching and design thinking skills, and leave with a digital prototype.",250,Atlanta
http://generalassemb.ly/education/the-career-experiment-making-your-job-work-for-you/atlanta/38972,Atlanta,The Career Experiment - Making Your Job Work For You,"Monday, 21 August",6:30,"We've all been told that if we follow our passions, they'll lead us to a fulfilling and happy career. Unfortunately that's only one piece of the equation, so many people spend years of their life chasing after something that can never be obtained, while feeling like a failure along the way. Even worse, some people remain in jobs they hate far longer than they should because they don't know how to make their next move.",30,Atlanta
http://generalassemb.ly/education/creating-video-content-on-a-budget/london/38809,London,Creating Video Content on a Budget,"Wednesday, 30 August",6:15,Are you new to video making or do you want to learn some new creative production tips? This introductory video class looks at essential video equipment as well as more advanced concepts. You will receive expert advice on techniques that can be applied to existing or future video projects.,35,Atlanta
http://generalassemb.ly/education/introduction-to-data-visualization/washington-dc/38572,"Washington, D.C.",Introduction to Data Visualization,"Monday, 7 August",6:30,Visualize your data to gain insights and actionable decisions.,65,Atlanta
http://generalassemb.ly/education/introduction-to-google-adwords/atlanta/39184,Atlanta,Introduction to Google AdWords,"Tuesday, 19 September",6:30,"Have you ever seen the ads at the top and bottom of search results when you type something into Google? Google AdWords is designed to help you reach potential customers at the exact right moment. This workshop will walk you through what you need to know to get started with this highly powerful, highly technical, advertising platform. Students will learn keyword targeting, how to design effective ad copy, and how to estimate your ad’s success.",30,Atlanta
http://generalassemb.ly/education/introduction-to-user-experience-design/los-angeles/39217,Los Angeles,Introduction to User Experience Design,"Wednesday, 12 July",7,Discover how design shapes our online experiences.,0,Atlanta
http://generalassemb.ly/education/sketch-for-non-designers/san-francisco/38646,San Francisco,Sketch for Non-Designers,"Wednesday, 26 July",6:30,"In this course you'll start to understand the lay of the land in the design communities hottest production tool. You'll learn about art boards, and how they can connect into a complete user flow. As a group we will explore the vast array of sketch integrations and how to publish a full clickable concept live into invision for showing your conceptual ideas on different devices.",65,Atlanta
http://generalassemb.ly/education/lean-marketing-for-startups-and-small-businesses/sydney/39564,Sydney,Lean Marketing for Startups and Small Businesses,"Monday, 21 August",6,"If you're a startup or small business, you're likely time-poor and resource constrained, so on top of growing your business and acquiring users and customers, how do you also market your company brilliantly?",50,Atlanta
http://generalassemb.ly/education/introduction-to-digital-marketing/los-angeles/39355,Los Angeles,Introduction to Digital Marketing,"Friday, 21 July",5,See the strategies that drive today’s biggest brands.,0,Atlanta
http://generalassemb.ly/education/introduction-to-python-bootcamp/sydney/38803,Sydney,Introduction to Python Bootcamp,"Saturday, 8 July",10,"Python is a versatile and widely-used programming language with many applications. This workshop explores Python's place in the scientific ecosystem, and how the language, with several readily-available open-source libraries, can serve as a powerful tool for data analysis. Designed as a stand-alone introduction to the data science aspects of Python, this class is also a recommended refresher for students planning to enroll in General Assembly's upcoming Data Science course. The course is hands-on and exercise based, so students will get plenty of practice.",250,Atlanta
http://generalassemb.ly/education/talk-like-a-programmer/san-francisco/38641,San Francisco,Talk Like A Programmer,"Tuesday, 22 August",6:30,"Learn to talk the talk without walking the walk. This class is for people who want to speak intelligently about tech. Whether you're recruiting developers, writing marketing copy, a first-time product manager, or simply want to work in a tech startup, you need to know what is happening in the engineering department.",65,Atlanta
http://generalassemb.ly/education/facebook-advertising-bootcamp/new-york-city/38528,New York City,Facebook Advertising Bootcamp,"Sunday, 30 July",10,"To become a great Facebook Marketer, you have to truly master the nuances of the platform, and leverage industry vetted best practices. In this hands on Bootcamp, you'll discover how to go beyond just boosting posts by leveraging Custom Audiences and advanced Bidding Strategies. You’ll also learn how to properly measure and optimize your campaigns using both the Facebook pixel and other measurement platforms. In addition, you’ll learn how to achieve your business objectives by integrating Facebook with other Marketing channels including Email and Google AdWords.",299,Atlanta
http://generalassemb.ly/education/how-to-work-with-influencers-for-marketing/london/37526,London,How to Work with Influencers for Marketing,"Wednesday, 9 August",6:15,"Whether you work in marketing, PR, or at a startup, this class will teach you how to work with travel influencers to achieve your marketing goals. You will learn everything from how to identify key digital influencers and bloggers in the travel industry to how to run effective campaigns with them.",55,Atlanta
http://generalassemb.ly/education/design-your-dream-job/washington-dc/37464,"Washington, D.C.",Design Your Dream Job,"Thursday, 20 July",6:30,"Very few of us graduate from school with a clear idea of what we want our careers to look like. Even when we think we know what we want, there are all sorts of obstacles to landing the right job. And worst of all, when we’ve finally gotten that job that we think will make us happy, it doesn’t. This leads to dissatisfaction and under-performance…and the process begins again.",35,Atlanta
http://generalassemb.ly/education/introduction-to-adobe-indesign-weekend-workshop/los-angeles/37875,Los Angeles,Introduction to Adobe InDesign: Weekend Workshop,"Saturday, 15 July",10,"Bring your creative ideas to life with Adobe InDesign, the professional page layout standard, used by designers and production professionals to design, preflight, and publish a broad range of documents such as brochures, catalogs, magazines and books. InDesign allows you to lay out and design multiple page documents. This workshop is designed to get you up and running with Adobe InDesign in one day. The focus will be on step-by-step instruction leading students through the most important tools and concepts in InDesign.",250,Atlanta
http://generalassemb.ly/education/code-in-one-day-html-css-crash-course/melbourne/39476,Melbourne,Code in One Day: HTML & CSS Crash Course,"Saturday, 26 August",10,"HTML and CSS are the fundamental building blocks of the web. Whether you're a beginner who wants to get started in web development, a designer looking to hand-code their concepts, or a marketer who wants a little more control over their CMS, you'll need to know HTML and CSS to get the job done.",220,Atlanta
http://generalassemb.ly/education/picture-this-instagram-for-business/london/39315,London,Picture This: Instagram for Business,"Wednesday, 30 August",6:15,"As one of the fastest-growing social networks of our decade, Instagram has risen to the top of the content food chain, and is constantly adding new features and tricks for you or your business to take advantage of.",25,Atlanta
http://generalassemb.ly/education/google-analytics-bootcamp/new-york-city/38400,New York City,Google Analytics Bootcamp,"Saturday, 9 September",10,"Learn how to use your Google Analytics to get real insights into your website’s visitors, their behavior and any patterns and trends. You will learn the lean smart way to gain customer insights and then turn these into actions that will drive your business forward.",299,Atlanta
http://generalassemb.ly/education/social-media-monitoring-and-analytics-how-what-and-why/new-york-city/38465,New York City,"Social Media Monitoring and Analytics: How, What, and Why","Thursday, 13 July",6:30,"Understanding metrics, stats and social analytics is key to creating, monitoring and adjusting social strategy and goals. With this in mind, digital marketers must know what they are looking for, which stats impact their previously set goals and how they can use analytics to fine-tune their content, engage with users and enhance their social presence. This class will cover the basics of understanding social metrics, their importance and how to use them to make stand out social presences, topnotch campaigns and stronger connections with users.",90,Atlanta
http://generalassemb.ly/education/user-experience-design-bootcamp/denver/37365,Denver,User Experience Design Bootcamp,"Saturday, 15 July",10,"As technology changes and more media outlets compete for customers’ time, providing an enjoyable experience is critical to both attracting and keeping users.  This class aims to demystify UX by giving a practical and simple introduction to what UX is while also explaining some of its core concepts of usability.  This is a field that affects all areas of business — prepare to dip your toes into an ocean of new concepts and ideas that will enlighten your perspective on the  human-computer interaction experience.",175,Atlanta
http://generalassemb.ly/education/branding-workshop-develop-your-brand-strategy-voice/san-francisco/37631,San Francisco,Branding Workshop: Develop Your Brand Strategy & Voice,"Tuesday, 8 August",6:30,"In today’s marketplace, brand is king. Regardless of the nature and size of your organization, it’s important to invest in building a strong brand to define your space in the marketplace and stand out from the crowd. More than a marketing campaign, brand fuels product development, customer acquisition, employee engagement, strategic partnerships and other growth strategies. By understanding the inputs for crafting a baseline strategy, you will dramatically improve your ability to communicate a unique idea with a clear sense of mission and message.",65,Atlanta
http://generalassemb.ly/education/the-write-stuff-ii-say-bye-bye-to-writers-block/los-angeles/39434,Los Angeles,The Write Stuff II: Say Bye Bye To Writer's Block,"Tuesday, 22 August",6:30,"Long form content is STILL ALIVE and well. Despite shorter attention spans, snaps and the rise of Facebook ""live"", blogs not only help you educate your readers--they are still the most powerful form of content for search. Writing isn't so much about coming up with clever topics or appealing to short attention spans as much as it is about INTRIGUING your reader and creating valuable content. What is valuable content? We'll uncover that PLUS help you learn additional techniques to strengthen your voice, refine your editing skills and publish more consistently. THIS class is a workshop where you will brainstorm blog topic ideas, discuss their relevancy, identify keywords for your posts, produce a full piece of content and a draft AND get feedback editing via class.",45,Atlanta
http://generalassemb.ly/education/speak-up-using-improv-to-succeed-in-business/los-angeles/39451,Los Angeles,Speak Up: Using Improv to Succeed in Business,"Tuesday, 12 September",7,"Utilizing the techniques and exercises of improv can dramatically strengthen your ability to communicate clearly and dynamically, collaborate more efficiently, and increase your creativity. In this workshop, you’ll learn to accelerate your confidence, spontaneity, leadership qualities, and much more with an introduction to improv skills. This workshop is ideal for entrepreneurs, startup teams, or anyone who wants to increase their confidence, networking skills, or sales goals.",60,Atlanta
http://generalassemb.ly/education/google-analytics-bootcamp/san-francisco/37896,San Francisco,Google Analytics Bootcamp,"Saturday, 16 September",10,"Learn how to use your Google Analytics to get real insights into your website’s visitors, their behavior and any patterns and trends. You will learn the lean smart way to gain customer insights and then turn these into actions that will drive your business forward.",150,Atlanta
http://generalassemb.ly/education/adobe-creative-suite-crash-course/washington-dc/39481,"Washington, D.C.",Adobe Creative Suite Crash Course,null,null,Immerse yourself in the amazing world of Adobe Creative Cloud applications that help designers create a variety of brilliant print and digital media. The Adobe Creative Cloud is composed of three industry standard design applications that seamlessly connect with each other. Becoming proficient will set you on a path to success with the design industry’s latest tools and techniques.,375,Atlanta
http://generalassemb.ly/education/data-driven-social-media-strategy/melbourne/38059,Melbourne,Data Driven Social Media Strategy,"Monday, 10 July",6:30,"Beneath the chatter on social media channels, there’s an ocean of valuable data. Learn how to get the most out of your social media presence by tapping into this rich resource of data and analysing it to inform business decisions.",35,Atlanta
http://generalassemb.ly/education/coding-101-html-css/new-york-city/38491,New York City,Coding 101: HTML & CSS,"Wednesday, 20 September",6:30,"Meet the programming languages that power the web, and write your first line of code.",60,Atlanta
http://generalassemb.ly/education/excel-at-excel-getting-down-the-basics/london/39136,London,Excel at Excel: Getting Down the Basics,"Wednesday, 2 August",6:15,"We’ve all heard of Microsoft Excel, and yet a surprising number of people have little to no experience using it. In this workshop — ideal for people working in business, management, or simply interested in getting more organised — you’ll learn the basics of the application, including calculation, formatting, and charts.",55,Atlanta
http://generalassemb.ly/education/code-in-one-day-html-css-crash-course/los-angeles/38212,Los Angeles,Code in One Day: HTML & CSS Crash Course,"Saturday, 15 July",10,"HTML and CSS are the fundamental building blocks of the web. Whether you're a beginner who wants to get started in web development, a designer looking to hand-code their concepts, or a marketer who wants a little more control over their CMS, you'll need to know HTML and CSS to get the job done.",250,Atlanta
http://generalassemb.ly/education/front-end-crash-course/seattle/39490,Seattle,Front-End Crash Course,"Wednesday, 26 July",6,"HTML and CSS are the fundamental building blocks of the web. If you’re a beginner who wants more control over your CMS or a professional programmer improving the front-end of your web-apps, you need to know HTML and CSS to get the job done.",60,Atlanta
http://generalassemb.ly/education/code-in-one-day-html-css-crash-course/los-angeles/38217,Los Angeles,Code in One Day: HTML & CSS Crash Course,"Saturday, 16 September",10,"HTML and CSS are the fundamental building blocks of the web. Whether you're a beginner who wants to get started in web development, a designer looking to hand-code their concepts, or a marketer who wants a little more control over their CMS, you'll need to know HTML and CSS to get the job done.",250,Atlanta
http://generalassemb.ly/education/know-your-customer-intimately-an-introduction-to-market-research/melbourne/39023,Melbourne,Know Your Customer – Intimately: An Introduction to Market Research,"Monday, 31 July",6:30,At the heart of every successful business is love for their customers. But how can you love someone you don’t even know?,35,Atlanta
http://generalassemb.ly/education/javascript-101/chicago/37358,Chicago,Javascript 101,"Wednesday, 12 July",6,Expand your coding toolkit with the No. 1 language in tech.,60,Atlanta
http://generalassemb.ly/education/sketch-like-a-boss/washington-dc/38887,"Washington, D.C.",Sketch Like a Boss!,"Tuesday, 1 August",6:30,"In this workshop, we blend business and design thinking within an interactive setting to help you produce quick, tangible results through sketching. This is for anyone who has ideas about anything and wants to learn a few more ways to share them with others.",55,Atlanta
http://generalassemb.ly/education/social-media-monitoring-and-analytics-how-what-and-why/new-york-city/38467,New York City,"Social Media Monitoring and Analytics: How, What, and Why","Wednesday, 6 September",6:30,"Understanding metrics, stats and social analytics is key to creating, monitoring and adjusting social strategy and goals. With this in mind, digital marketers must know what they are looking for, which stats impact their previously set goals and how they can use analytics to fine-tune their content, engage with users and enhance their social presence. This class will cover the basics of understanding social metrics, their importance and how to use them to make stand out social presences, topnotch campaigns and stronger connections with users.",90,Atlanta
http://generalassemb.ly/education/facebook-advertising-for-the-win/new-york-city/38480,New York City,Facebook Advertising for the Win,"Tuesday, 18 July",6:30,"Facebook is a juggernaut with over 1.74 billion monthly active users. In this workshop you will get insights and practical lessons from the field, you’ll learn how to make the most of Facebook advertising in this fast-paced, hands on class. We’ll focus on highly specific hacks that will help you cut through the noise and acquire new users to grow your business. From the anatomy of a high-converting ad to optimization tips to suggested resources, you’ll come out of this workshop knowing a more clever and effective way to run Facebook ads.",90,Atlanta
http://generalassemb.ly/education/curating-remarkable-experiences-through-experience-design/melbourne/39473,Melbourne,Curating Remarkable Experiences Through Experience Design,"Wednesday, 16 August",6,"The ability to design remarkable experiences is a capability which is an ever growing desire for businesses to have. A focus on User Experience (UX), Customer Experience (CX) and Brand Experience (BX) have proven to elevate brand affinity as well as customer satisfaction.",70,Atlanta
http://generalassemb.ly/education/intro-to-seo/chicago/39191,Chicago,Intro to SEO,"Monday, 28 August",6,"Search engine optimisation (SEO) is about improving the visibility of a site in a search engine’s “organic” (or unpaid) results. If you’re interested in getting a practical introduction to SEO, including what it is and find out how you can make the most of it, this class will give you a great start. You’ll learn what search engines are trying to achieve and why, how they’ve developed over time, what’s in store in their future, what elements have traditionally been important for doing well in search results, and what recent changes have been made that will affect the way SEO works.",40,Atlanta
http://generalassemb.ly/education/service-design-workshop/london/38395,London,Service Design Workshop,"Wednesday, 20 September",6:15,"Service Design is a well established, yet often misunderstood discipline that focuses on the development of solutions with consideration to all channels and touchpoints from both a user and organisational perspective. It’s a growing industry, and now that we can clearly see the value of a better designed service the industry will continue to accelerate. Many companies are going through a shift from being a product-led organisation to a service-led one, and the benefit of this shift is often increased customer loyalty, and the customers are also willing to pay more.",55,Atlanta
http://generalassemb.ly/education/python-programming-101/chicago/37497,Chicago,Python Programming 101,"Wednesday, 5 July",6,Unlock data-driven insights with code.,60,Atlanta
http://generalassemb.ly/education/digital-marketing-bootcamp--2/new-york-city/38493,New York City,Digital Marketing Bootcamp,"Saturday, 19 August",10,"The digital landscape is moving at lightning speed. Every industry has been affected by the advances in digital—from retail to brands and agencies. Has your manager recently assigned a digital marketing role to you? Are you a project or account manager at a creative agency? Do you work for a small company or a start-up, and handle all things digital on your own? Then this bootcamp may be just what you need! Specifically created for students and professionals interested in gaining a deeper understanding of everything digital marketing can encompass.",299,Atlanta
http://generalassemb.ly/education/programming-for-non-programmers-the-basics--2/new-york-city/38420,New York City,Programming for Non-Programmers - The Basics,"Thursday, 6 July",6,Are you a creative or entrepreneur that wishes you could speak tech with your web development team? Maybe you wish you could code a bit yourself? Programming for Non-Programmers is workshop series at General Assembly designed to help non-programmers communicate more efficiently with developers or to help aspiring developers get started.,140,Atlanta
http://generalassemb.ly/education/product-management-101-f2ff0d2e-a76e-435e-b283-7567e6c7bf5f/new-york-city/38464,New York City,Product Management 101,"Wednesday, 6 September",6:30,Learn the keys to driving product success.,60,Atlanta
http://generalassemb.ly/education/social-media-bootcamp/new-york-city/38432,New York City,Social Media Bootcamp,"Saturday, 9 September",10,This bootcamp  introduces students to the current social media landscape and explores how it can be used for maximum results (for brands as well as agencies). Participants will leave with a detailed understanding of both the current social media landscape and how to evaluate which tools or social platforms are the best fit for their organization's strategic goals.,299,Atlanta
http://generalassemb.ly/education/seo-training-for-startups-beginners/new-york-city/39098,New York City,SEO Training for Startups & Beginners,"Thursday, 31 August",6:30,"Learn how to rank your website at the top of search engines, like Google. Search Engine Optimization (SEO) is more important than ever if you’re interested in driving targeted traffic to your website. We’ll share the strategies for creating an effective SEO campaign that improves your online visibility and brings potential customers to your company website.",90,Atlanta
http://generalassemb.ly/education/sql-bootcamp/boston/36413,Boston,SQL Bootcamp,"Saturday, 12 August",10,SQL provides powerful but reasonably simple tools for data analysis and handling.  This bootcamp will take absolute beginners through the basics of SQL to an ability to write queries with confidence.  We will use a combination of lecture and in-class exercises to ensure that students leave with a working grasp of SQL fundamentals.,250,Atlanta
http://generalassemb.ly/education/introduction-to-data-science-80ad72a7-92a5-48a1-940c-006d43bd4dcf/los-angeles/39356,Los Angeles,Introduction to Data Science,"Thursday, 27 July",6:30,See how the predictive power of data drives modern business.,45,Atlanta
http://generalassemb.ly/education/project-management-fundamentals-workshop/san-francisco/38056,San Francisco,Project Management Fundamentals Workshop,"Saturday, 23 September",10,"The profession of project management, specifically digital and web project management, has recently become one of the hottest jobs in the tech market.",150,Atlanta
http://generalassemb.ly/education/introduction-to-d3js/singapore/38595,Singapore,Introduction to D3.JS,"Tuesday, 25 July",7,D3 (Data driven documents) is the de facto web library used for data visualizations.,60,Atlanta
http://generalassemb.ly/education/user-experience-design-bootcamp/austin/37847,Austin,User Experience Design Bootcamp,"Saturday, 8 July",9,"As technology changes and more companies compete for customers’ time, providing a useful and enjoyable experience is critical to both attracting and retaining customers. This class aims to demystify user experience by giving a practical and simple introduction to what UX is while explaining some of its core concepts. This is a field that affects all areas of business — prepare to dip your toes into an ocean of new concepts and ideas that will enlighten your perspective on the human-computer interaction experience.",175,Atlanta
http://generalassemb.ly/education/intermediate-excel-formulas-functions/new-york-city/38458,New York City,Intermediate Excel: Formulas & Functions,"Tuesday, 8 August",6:30,"The Intermediate Excel: Formula and Functions workshop is designed for students who have mastered the material from the Excel at Excel workshop and are looking to build upon those skills. Given that there lacks an enforceable prerequisite, the workshop does review a few topics from the Excel at Excel workshop, including conditional math functions and basic reference functions, to ensure that all participants have the basic knowledge needed for the advance topics. Students will learn specialized functions and how to combine functions to achieve more advance tasks. Additionally, the workshop covers some more advance options in charts. Students that benefit the most are those looking to be more efficient with Excel",90,Atlanta
